team_ja,team_en,opp_team_ja,opp_team_en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,total,win,loss,gameKind,date
中日ドラゴンズ,dragons,横浜DeNAベイスターズ,dena,1,0,1,0,2,0,0,0,0,,,,,,,4,0,1,リーグ戦,2023-04-29
横浜DeNAベイスターズ,dena,中日ドラゴンズ,dragons,0,0,1,0,1,5,0,0,0,,,,,,,7,1,0,リーグ戦,2023-04-29
読売ジャイアンツ,giants,広島東洋カープ,carp,1,0,0,0,0,0,1,0,2X,,,,,,,4,1,0,リーグ戦,2023-04-29
広島東洋カープ,carp,読売ジャイアンツ,giants,0,1,1,0,0,0,1,0,0,,,,,,,3,0,1,リーグ戦,2023-04-29
東京ヤクルトスワローズ,swallows,阪神タイガース,tigers,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,リーグ戦,2023-04-29
阪神タイガース,tigers,東京ヤクルトスワローズ,swallows,0,0,0,0,2,0,1,2,2,,,,,,,7,1,0,リーグ戦,2023-04-29
北海道日本ハムファイターズ,fighters,福岡ソフトバンクホークス,hawks,2,0,0,1,0,0,0,0,X,,,,,,,3,1,0,リーグ戦,2023-04-29
福岡ソフトバンクホークス,hawks,北海道日本ハムファイターズ,fighters,0,0,0,0,0,1,0,0,0,,,,,,,1,0,1,リーグ戦,2023-04-29
埼玉西武ライオンズ,lions,東北楽天ゴールデンイーグルス,rakuten,0,0,0,0,2,0,0,0,0,,,,,,,2,0,1,リーグ戦,2023-04-29
東北楽天ゴールデンイーグルス,rakuten,埼玉西武ライオンズ,lions,0,0,3,2,0,0,3,0,0,,,,,,,8,1,0,リーグ戦,2023-04-29
オリックス・バファローズ,orix,千葉ロッテマリーンズ,lotte,0,0,2,0,0,1,0,0,X,,,,,,,3,1,0,リーグ戦,2023-04-29
千葉ロッテマリーンズ,lotte,オリックス・バファローズ,orix,1,0,0,0,0,0,1,0,0,,,,,,,2,0,1,リーグ戦,2023-04-29
