team_ja,team_en,opp_team_ja,opp_team_en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,total,win,loss,gameKind,date
読売ジャイアンツ,giants,広島東洋カープ,carp,0,0,0,3,0,1,0,1,X,,,,,,,5,1,0,リーグ戦,2023-04-28
広島東洋カープ,carp,読売ジャイアンツ,giants,0,1,1,0,0,0,0,0,2,,,,,,,4,0,1,リーグ戦,2023-04-28
東京ヤクルトスワローズ,swallows,阪神タイガース,tigers,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,リーグ戦,2023-04-28
阪神タイガース,tigers,東京ヤクルトスワローズ,swallows,3,0,0,0,0,1,0,0,0,,,,,,,4,1,0,リーグ戦,2023-04-28
中日ドラゴンズ,dragons,横浜DeNAベイスターズ,dena,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,リーグ戦,2023-04-28
横浜DeNAベイスターズ,dena,中日ドラゴンズ,dragons,0,0,0,1,0,0,0,0,0,,,,,,,1,1,0,リーグ戦,2023-04-28
北海道日本ハムファイターズ,fighters,福岡ソフトバンクホークス,hawks,0,0,0,3,0,0,0,0,0,0,,,,,,3,0,1,リーグ戦,2023-04-28
福岡ソフトバンクホークス,hawks,北海道日本ハムファイターズ,fighters,2,0,1,0,0,0,0,0,0,3,,,,,,6,1,0,リーグ戦,2023-04-28
埼玉西武ライオンズ,lions,東北楽天ゴールデンイーグルス,rakuten,2,0,0,0,0,0,0,2,X,,,,,,,4,1,0,リーグ戦,2023-04-28
東北楽天ゴールデンイーグルス,rakuten,埼玉西武ライオンズ,lions,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,リーグ戦,2023-04-28
オリックス・バファローズ,orix,千葉ロッテマリーンズ,lotte,1,0,0,2,0,0,0,0,0,0,,,,,,3,0,1,リーグ戦,2023-04-28
千葉ロッテマリーンズ,lotte,オリックス・バファローズ,orix,0,0,0,0,3,0,0,0,0,1,,,,,,4,1,0,リーグ戦,2023-04-28
