team_ja,team_en,opp_team_ja,opp_team_en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,total,win,loss,gameKind,date
読売ジャイアンツ,giants,阪神タイガース,tigers,1,0,0,0,0,0,2,4,X,,,,,,,7,1,0,リーグ戦,2023-04-11
阪神タイガース,tigers,読売ジャイアンツ,giants,0,0,0,0,0,0,0,1,0,,,,,,,1,0,1,リーグ戦,2023-04-11
東京ヤクルトスワローズ,swallows,横浜DeNAベイスターズ,dena,3,1,0,0,2,0,0,0,X,,,,,,,6,1,0,リーグ戦,2023-04-11
横浜DeNAベイスターズ,dena,東京ヤクルトスワローズ,swallows,0,1,0,0,0,1,0,0,1,,,,,,,3,0,1,リーグ戦,2023-04-11
中日ドラゴンズ,dragons,広島東洋カープ,carp,0,0,0,0,0,0,0,0,1,,,,,,,1,0,1,リーグ戦,2023-04-11
広島東洋カープ,carp,中日ドラゴンズ,dragons,0,0,0,2,0,0,0,0,2,,,,,,,4,1,0,リーグ戦,2023-04-11
東北楽天ゴールデンイーグルス,rakuten,オリックス・バファローズ,orix,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,リーグ戦,2023-04-11
オリックス・バファローズ,orix,東北楽天ゴールデンイーグルス,rakuten,0,0,2,0,0,1,0,3,0,,,,,,,6,1,0,リーグ戦,2023-04-11
埼玉西武ライオンズ,lions,千葉ロッテマリーンズ,lotte,0,0,0,1,2,2,3,0,X,,,,,,,8,1,0,リーグ戦,2023-04-11
千葉ロッテマリーンズ,lotte,埼玉西武ライオンズ,lions,2,0,0,0,0,0,0,0,1,,,,,,,3,0,1,リーグ戦,2023-04-11
福岡ソフトバンクホークス,hawks,北海道日本ハムファイターズ,fighters,0,0,2,0,1,0,0,0,0,1X,,,,,,4,1,0,リーグ戦,2023-04-11
北海道日本ハムファイターズ,fighters,福岡ソフトバンクホークス,hawks,0,0,0,2,0,0,0,1,0,0,,,,,,3,0,1,リーグ戦,2023-04-11
