player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
小笠原 慎之介,勝,2.77,7,103,25,3,0,9,2,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-05-26
祖父江 大輔,H,0.96,0.1,9,2,1,0,0,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-05-26
福 敬登,H,1.17,0.2,11,2,0,0,2,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-05-26
マルティネス,S,0.00,1,10,3,0,0,2,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-05-26
ガゼルマン,敗,3.21,7,107,27,4,1,5,2,0,0,1,1,横浜DeNAベイスターズ,dena,リーグ戦,2023-05-26
森原 康平,,4.50,1,17,4,1,0,1,0,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-05-26
桐敷 拓馬,勝,1.29,7,93,26,5,0,10,1,0,0,1,1,阪神タイガース,tigers,リーグ戦,2023-05-26
湯浅 京己,H,0.00,1,18,5,1,0,1,1,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-05-26
岩崎 優,S,0.55,1,24,4,1,0,3,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-05-26
横川 凱,,2.40,6,80,20,3,0,6,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-05-26
鈴木 康平,敗,6.00,0.1,15,5,3,0,0,0,1,0,2,2,読売ジャイアンツ,giants,リーグ戦,2023-05-26
高梨 雄平,,4.80,0.2,8,2,0,0,0,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-05-26
平内 龍太,,3.60,1,16,4,1,0,0,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-05-26
黒原 拓未,,10.13,3.1,70,20,7,0,6,2,0,0,3,3,広島東洋カープ,carp,リーグ戦,2023-05-26
大道 温貴,H,6.35,1.2,19,7,2,0,1,0,0,0,1,1,広島東洋カープ,carp,リーグ戦,2023-05-26
戸根 千明,H,2.84,0.2,17,4,1,0,0,1,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-05-26
島内 颯太郎,勝,1.88,1.1,14,4,0,0,1,0,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-05-26
ターリー,H,1.47,1,13,3,1,0,1,0,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-05-26
矢崎 拓也,S,0.00,1,22,5,2,0,1,0,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-05-26
高梨 裕稔,敗,7.66,3,76,19,7,1,4,2,1,0,6,6,東京ヤクルトスワローズ,swallows,リーグ戦,2023-05-26
今野 龍太,,0.00,2,24,8,2,0,1,0,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-05-26
小澤 怜史,,3.04,3,40,10,1,0,1,0,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-05-26
藤平 尚真,,3.67,5,88,24,7,0,7,2,1,0,3,3,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-05-26
宋 家豪,,4.35,1,11,3,0,0,1,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-05-26
酒居 知史,,0.00,1,11,3,0,0,1,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-05-26
内 星龍,勝,1.29,1,14,5,0,0,1,2,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-05-26
松井 裕樹,S,0.64,1,14,3,0,0,2,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-05-26
伊藤 大海,敗,3.81,7.0,115,31,6,1,7,2,0,0,4,4,北海道日本ハムファイターズ,fighters,リーグ戦,2023-05-26
宮西 尚生,,0.61,1,12,4,1,0,0,0,0,0,0,0,北海道日本ハムファイターズ,fighters,リーグ戦,2023-05-26
松本 航,敗,3.82,6,86,24,4,2,3,2,1,0,4,3,埼玉西武ライオンズ,lions,リーグ戦,2023-05-26
ティノコ,,3.24,1,11,3,1,0,0,0,0,0,0,0,埼玉西武ライオンズ,lions,リーグ戦,2023-05-26
佐々木 健,,0.00,1,9,4,1,0,1,0,0,0,0,0,埼玉西武ライオンズ,lions,リーグ戦,2023-05-26
ボー・タカハシ,,1.74,1,16,5,0,0,1,1,1,0,0,0,埼玉西武ライオンズ,lions,リーグ戦,2023-05-26
山岡 泰輔,勝,2.04,6,89,21,3,0,4,0,0,0,1,1,オリックス・バファローズ,orix,リーグ戦,2023-05-26
ワゲスパック,H,3.65,1,9,3,0,0,2,0,0,0,0,0,オリックス・バファローズ,orix,リーグ戦,2023-05-26
山﨑 颯一郎,H,2.18,1,11,3,0,0,0,0,0,0,0,0,オリックス・バファローズ,orix,リーグ戦,2023-05-26
平野 佳寿,S,1.38,1,18,4,0,0,1,1,0,0,0,0,オリックス・バファローズ,orix,リーグ戦,2023-05-26
