team_ja,team_en,opp_team_ja,opp_team_en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,total,win,loss,gameKind,date
東京ヤクルトスワローズ,swallows,横浜DeNAベイスターズ,dena,0,0,0,0,0,0,0,2,X,,,,,,,2,1,0,オープン戦,2023-03-22
横浜DeNAベイスターズ,dena,東京ヤクルトスワローズ,swallows,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,オープン戦,2023-03-22
埼玉西武ライオンズ,lions,東北楽天ゴールデンイーグルス,rakuten,2,1,0,0,0,0,0,0,0,,,,,,,3,0,0,オープン戦,2023-03-22
東北楽天ゴールデンイーグルス,rakuten,埼玉西武ライオンズ,lions,1,0,0,2,0,0,0,0,0,,,,,,,3,0,0,オープン戦,2023-03-22
千葉ロッテマリーンズ,lotte,広島東洋カープ,carp,2,0,0,2,0,0,1,0,X,,,,,,,5,1,0,オープン戦,2023-03-22
広島東洋カープ,carp,千葉ロッテマリーンズ,lotte,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,オープン戦,2023-03-22
オリックス・バファローズ,orix,中日ドラゴンズ,dragons,1,1,2,0,1,1,0,0,X,,,,,,,6,1,0,オープン戦,2023-03-22
中日ドラゴンズ,dragons,オリックス・バファローズ,orix,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,オープン戦,2023-03-22
北海道日本ハムファイターズ,fighters,福岡ソフトバンクホークス,hawks,3,0,1,0,0,0,0,0,X,,,,,,,4,1,0,オープン戦,2023-03-22
福岡ソフトバンクホークス,hawks,北海道日本ハムファイターズ,fighters,0,0,0,1,0,0,0,0,1,,,,,,,2,0,1,オープン戦,2023-03-22
読売ジャイアンツ,giants,阪神タイガース,tigers,1,0,0,0,4,0,1,0,X,,,,,,,6,1,0,オープン戦,2023-03-22
阪神タイガース,tigers,読売ジャイアンツ,giants,0,0,0,0,1,0,0,3,0,,,,,,,4,0,1,オープン戦,2023-03-22
