team_ja,team_en,opp_team_ja,opp_team_en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,total,win,loss,gameKind,date
東京ヤクルトスワローズ,swallows,広島東洋カープ,carp,2,0,0,0,0,1,0,1,X,,,,,,,4,1,0,リーグ戦,2023-03-31
広島東洋カープ,carp,東京ヤクルトスワローズ,swallows,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,リーグ戦,2023-03-31
阪神タイガース,tigers,横浜DeNAベイスターズ,dena,0,3,0,1,1,0,0,1,X,,,,,,,6,1,0,リーグ戦,2023-03-31
横浜DeNAベイスターズ,dena,阪神タイガース,tigers,0,0,0,0,0,1,0,2,0,,,,,,,3,0,1,リーグ戦,2023-03-31
読売ジャイアンツ,giants,中日ドラゴンズ,dragons,0,0,0,1,0,0,0,2,0,,,,,,,3,0,1,リーグ戦,2023-03-31
中日ドラゴンズ,dragons,読売ジャイアンツ,giants,1,0,1,0,0,0,0,0,4,,,,,,,6,1,0,リーグ戦,2023-03-31
埼玉西武ライオンズ,lions,オリックス・バファローズ,orix,0,0,0,1,0,0,1,0,0,0,,,,,,2,0,1,リーグ戦,2023-03-31
オリックス・バファローズ,orix,埼玉西武ライオンズ,lions,0,0,0,0,1,0,0,0,1,1,,,,,,3,1,0,リーグ戦,2023-03-31
福岡ソフトバンクホークス,hawks,千葉ロッテマリーンズ,lotte,0,0,0,0,0,3,1,0,X,,,,,,,4,1,0,リーグ戦,2023-03-31
千葉ロッテマリーンズ,lotte,福岡ソフトバンクホークス,hawks,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,リーグ戦,2023-03-31
