player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
田嶋 大樹,,2.25,4.0,61.0,16.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,オリックス・バファローズ,orix,オープン戦,2021-03-01
荒西 祐大,,18.0,2.0,57.0,13.0,5.0,0.0,1.0,2.0,0.0,0.0,4.0,4.0,オリックス・バファローズ,orix,オープン戦,2021-03-01
山田 修義,,0.0,1.0,21.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,オリックス・バファローズ,orix,オープン戦,2021-03-01
黒木 優太,,0.0,0.2,25.0,5.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,オリックス・バファローズ,orix,オープン戦,2021-03-01
吉田 凌,,0.0,0.1,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,オリックス・バファローズ,orix,オープン戦,2021-03-01
富山 凌雅,,0.0,1.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,オリックス・バファローズ,orix,オープン戦,2021-03-01
中村 稔弥,,6.75,4.0,59.0,15.0,4.0,1.0,5.0,0.0,0.0,0.0,3.0,3.0,千葉ロッテマリーンズ,lotte,オープン戦,2021-03-01
益田 直也,,0.0,1.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,千葉ロッテマリーンズ,lotte,オープン戦,2021-03-01
田中 靖洋,,27.0,0.2,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,千葉ロッテマリーンズ,lotte,オープン戦,2021-03-01
東條 大樹,,0.0,0.2,12.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,千葉ロッテマリーンズ,lotte,オープン戦,2021-03-01
山本 大貴,,13.5,0.2,13.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,千葉ロッテマリーンズ,lotte,オープン戦,2021-03-01
