team_ja,team_en,opp_team_ja,opp_team_en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,total,win,loss,gameKind,date
オリックス・バファローズ,orix,千葉ロッテマリーンズ,lotte,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0,,,,,,,6.0,0.0,0.0,オープン戦,2021-03-01
千葉ロッテマリーンズ,lotte,オリックス・バファローズ,orix,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0,,,,,,,6.0,0.0,0.0,オープン戦,2021-03-01
福岡ソフトバンクホークス,hawks,中日ドラゴンズ,dragons,2.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,X,,,,,,,14.0,1.0,0.0,オープン戦,2021-03-01
中日ドラゴンズ,dragons,福岡ソフトバンクホークス,hawks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,,,,,,,2.0,0.0,1.0,オープン戦,2021-03-01
オリックス・バファローズ,orix,千葉ロッテマリーンズ,lotte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,0.0,1.0,オープン戦,2021-03-03
千葉ロッテマリーンズ,lotte,オリックス・バファローズ,orix,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,,,,,,2.0,1.0,0.0,オープン戦,2021-03-03
読売ジャイアンツ,giants,東京ヤクルトスワローズ,swallows,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,,,,,,1.0,0.0,1.0,オープン戦,2021-03-03
東京ヤクルトスワローズ,swallows,読売ジャイアンツ,giants,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0,,,,,,,6.0,1.0,0.0,オープン戦,2021-03-03
福岡ソフトバンクホークス,hawks,中日ドラゴンズ,dragons,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,X,,,,,,,4.0,1.0,0.0,オープン戦,2021-03-03
中日ドラゴンズ,dragons,福岡ソフトバンクホークス,hawks,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,,,,,,,1.0,0.0,1.0,オープン戦,2021-03-03
北海道日本ハムファイターズ,fighters,埼玉西武ライオンズ,lions,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,X,,,,,,,7.0,1.0,0.0,オープン戦,2021-03-03
埼玉西武ライオンズ,lions,北海道日本ハムファイターズ,fighters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,0.0,1.0,オープン戦,2021-03-03
読売ジャイアンツ,giants,東京ヤクルトスワローズ,swallows,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,X,,,,,,,3.0,1.0,0.0,オープン戦,2021-03-04
東京ヤクルトスワローズ,swallows,読売ジャイアンツ,giants,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,,,,,,2.0,0.0,1.0,オープン戦,2021-03-04
北海道日本ハムファイターズ,fighters,埼玉西武ライオンズ,lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,1.0,0.0,1.0,オープン戦,2021-03-04
埼玉西武ライオンズ,lions,北海道日本ハムファイターズ,fighters,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,,,,,,,6.0,1.0,0.0,オープン戦,2021-03-04
横浜DeNAベイスターズ,dena,オリックス・バファローズ,orix,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,X,,,,,,,5.0,1.0,0.0,オープン戦,2021-03-05
オリックス・バファローズ,orix,横浜DeNAベイスターズ,dena,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,,,,,1.0,0.0,1.0,オープン戦,2021-03-05
福岡ソフトバンクホークス,hawks,阪神タイガース,tigers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,0.0,1.0,オープン戦,2021-03-05
阪神タイガース,tigers,福岡ソフトバンクホークス,hawks,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,,,,4.0,1.0,0.0,オープン戦,2021-03-05
千葉ロッテマリーンズ,lotte,埼玉西武ライオンズ,lions,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,X,,,,,,,4.0,1.0,0.0,オープン戦,2021-03-06
埼玉西武ライオンズ,lions,千葉ロッテマリーンズ,lotte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,0.0,1.0,オープン戦,2021-03-06
横浜DeNAベイスターズ,dena,オリックス・バファローズ,orix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,0.0,1.0,オープン戦,2021-03-06
オリックス・バファローズ,orix,横浜DeNAベイスターズ,dena,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2,,,,,,,5.0,1.0,0.0,オープン戦,2021-03-06
広島東洋カープ,carp,東京ヤクルトスワローズ,swallows,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,X,,,,,,,1.0,1.0,0.0,オープン戦,2021-03-06
東京ヤクルトスワローズ,swallows,広島東洋カープ,carp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,0.0,1.0,オープン戦,2021-03-06
中日ドラゴンズ,dragons,東北楽天ゴールデンイーグルス,rakuten,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,X,,,,,,,2.0,1.0,0.0,オープン戦,2021-03-06
東北楽天ゴールデンイーグルス,rakuten,中日ドラゴンズ,dragons,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,1.0,0.0,1.0,オープン戦,2021-03-06
福岡ソフトバンクホークス,hawks,阪神タイガース,tigers,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,,,,,,,1.0,0.0,1.0,オープン戦,2021-03-06
阪神タイガース,tigers,福岡ソフトバンクホークス,hawks,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0,,,,,,,3.0,1.0,0.0,オープン戦,2021-03-06
北海道日本ハムファイターズ,fighters,読売ジャイアンツ,giants,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,,,,,,,2.0,0.0,1.0,オープン戦,2021-03-06
読売ジャイアンツ,giants,北海道日本ハムファイターズ,fighters,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1,,,,,,,7.0,1.0,0.0,オープン戦,2021-03-06
北海道日本ハムファイターズ,fighters,読売ジャイアンツ,giants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,1.0,0.0,1.0,オープン戦,2021-03-07
読売ジャイアンツ,giants,北海道日本ハムファイターズ,fighters,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0,,,,,,,4.0,1.0,0.0,オープン戦,2021-03-07
千葉ロッテマリーンズ,lotte,埼玉西武ライオンズ,lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,,,,2.0,0.0,1.0,オープン戦,2021-03-07
埼玉西武ライオンズ,lions,千葉ロッテマリーンズ,lotte,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0,,,,,,,4.0,1.0,0.0,オープン戦,2021-03-07
横浜DeNAベイスターズ,dena,オリックス・バファローズ,orix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,0.0,1.0,オープン戦,2021-03-07
オリックス・バファローズ,orix,横浜DeNAベイスターズ,dena,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0,,,,,,,5.0,1.0,0.0,オープン戦,2021-03-07
広島東洋カープ,carp,東京ヤクルトスワローズ,swallows,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,X,,,,,,,2.0,1.0,0.0,オープン戦,2021-03-07
東京ヤクルトスワローズ,swallows,広島東洋カープ,carp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,0.0,1.0,オープン戦,2021-03-07
福岡ソフトバンクホークス,hawks,阪神タイガース,tigers,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,X,,,,,,,4.0,1.0,0.0,オープン戦,2021-03-07
阪神タイガース,tigers,福岡ソフトバンクホークス,hawks,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,,,,,,,3.0,0.0,1.0,オープン戦,2021-03-07
中日ドラゴンズ,dragons,東北楽天ゴールデンイーグルス,rakuten,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,X,,,,,,,3.0,1.0,0.0,オープン戦,2021-03-07
東北楽天ゴールデンイーグルス,rakuten,中日ドラゴンズ,dragons,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,,,,,,,2.0,0.0,1.0,オープン戦,2021-03-07
横浜DeNAベイスターズ,dena,北海道日本ハムファイターズ,fighters,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,X,,,,,,,9.0,1.0,0.0,オープン戦,2021-03-09
