player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
戸郷 翔征,勝,0.00,7,87,25,3,0,5,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-04-11
高梨 雄平,,9.00,0.1,21,4,2,0,1,0,0,0,1,0,読売ジャイアンツ,giants,リーグ戦,2023-04-11
田中 豊樹,H,3.38,0.2,5,2,0,0,0,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-04-11
鍬原 拓也,,0.00,1,8,3,0,0,0,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-04-11
西 勇輝,敗,2.84,6.2,97,28,6,0,4,2,1,0,3,2,阪神タイガース,tigers,リーグ戦,2023-04-11
富田 蓮,,0.00,0.1,2,1,0,0,0,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-04-11
浜地 真澄,,14.54,0.1,16,5,4,2,0,0,0,0,4,4,阪神タイガース,tigers,リーグ戦,2023-04-11
ビーズリー,,0.00,0.2,14,3,1,0,1,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-04-11
サイスニード,勝,1.54,5.2,94,24,7,1,5,0,0,0,2,2,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-11
星 知弥,,0.00,0.1,4,1,0,0,1,0,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-11
今野 龍太,,0.00,0.2,10,4,1,0,0,1,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-11
石山 泰稚,H,0.00,0.1,1,1,0,0,0,0,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-11
小澤 怜史,,0.00,1,10,3,0,0,0,0,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-11
山本 大貴,,6.75,1,14,4,1,1,0,0,0,0,1,1,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-11
濵口 遥大,敗,10.00,4.0,82,23,7,1,3,4,0,0,6,6,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-11
上茶谷 大河,,1.80,2,44,9,1,0,2,2,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-11
ウェンデルケン,,0.00,1,23,4,0,0,0,0,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-11
石川 達也,,0.00,1,11,3,0,0,2,0,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-11
柳 裕也,敗,3.27,6,95,26,7,0,6,2,0,0,2,1,中日ドラゴンズ,dragons,リーグ戦,2023-04-11
祖父江 大輔,,3.00,1,12,4,1,0,1,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-04-11
勝野 昌慶,,2.70,1,12,4,0,0,1,1,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-04-11
田島 慎二,,6.75,0.2,18,5,3,0,1,0,0,0,2,2,中日ドラゴンズ,dragons,リーグ戦,2023-04-11
山本 拓実,,3.00,0.1,4,1,0,0,0,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-04-11
九里 亜蓮,勝,1.46,8,97,27,4,0,7,1,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-04-11
ターリー,,2.25,0.0,11,2,1,0,0,1,0,0,1,1,広島東洋カープ,carp,リーグ戦,2023-04-11
栗林 良吏,S,3.60,1,11,3,1,0,1,0,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-04-11
則本 昂大,敗,3.97,5.1,92,23,5,2,6,2,0,0,3,3,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-04-11
弓削 隼人,,2.45,0.2,4,1,0,0,0,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-04-11
宮森 智志,,3.00,1,11,3,0,0,2,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-04-11
宋 家豪,,6.75,1,18,6,4,1,0,0,0,0,3,3,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-04-11
安樂 智大,,6.75,1,16,4,1,0,1,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-04-11
山下 舜平大,勝,0.87,5,93,20,2,0,10,2,1,0,0,0,オリックス・バファローズ,orix,リーグ戦,2023-04-11
宇田川 優希,H,2.70,1,7,3,0,0,0,0,0,0,0,0,オリックス・バファローズ,orix,リーグ戦,2023-04-11
山﨑 颯一郎,H,0.00,1,23,5,1,0,2,1,0,0,0,0,オリックス・バファローズ,orix,リーグ戦,2023-04-11
近藤 大亮,,1.93,1,12,3,0,0,0,0,0,0,0,0,オリックス・バファローズ,orix,リーグ戦,2023-04-11
本田 仁海,,1.50,1,20,5,0,0,2,2,0,0,0,0,オリックス・バファローズ,orix,リーグ戦,2023-04-11
平良 海馬,勝,2.08,6,104,22,1,1,8,4,0,0,2,2,埼玉西武ライオンズ,lions,リーグ戦,2023-04-11
平井 克典,H,0.00,1,18,4,1,0,1,0,0,0,0,0,埼玉西武ライオンズ,lions,リーグ戦,2023-04-11
青山 美夏人,,3.00,1,18,4,0,0,0,1,0,0,0,0,埼玉西武ライオンズ,lions,リーグ戦,2023-04-11
ティノコ,,6.75,1,25,6,1,0,2,2,0,0,1,1,埼玉西武ライオンズ,lions,リーグ戦,2023-04-11
