player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
東 克樹,勝,0.00,7,89,22,4,0,8,0,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-06
伊勢 大夢,,0.00,1,16,3,0,0,0,0,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-06
山﨑 康晃,,3.38,1,20,4,1,0,2,0,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-06
横川 凱,敗,1.50,6,81,22,5,0,2,1,0,0,1,1,読売ジャイアンツ,giants,リーグ戦,2023-04-06
船迫 大雅,,11.57,1,17,6,2,1,1,1,0,0,3,3,読売ジャイアンツ,giants,リーグ戦,2023-04-06
直江 大輔,,0.00,1,9,3,0,0,0,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-04-06
髙橋 宏斗,勝,1.50,6,98,21,1,1,8,2,0,0,1,1,中日ドラゴンズ,dragons,リーグ戦,2023-04-06
砂田 毅樹,,6.75,0.0,3,1,1,0,0,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-04-06
田島 慎二,H,0.00,1,18,4,1,0,1,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-04-06
清水 達也,H,4.50,1,16,4,0,0,1,1,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-04-06
マルティネス,S,0.00,1,10,3,0,0,2,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-04-06
石川 雅規,敗,6.75,2.2,54,15,6,0,0,0,0,0,3,2,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-06
小澤 怜史,,0.00,2.1,46,11,3,0,6,1,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-06
久保 拓眞,,0.00,0.1,8,3,1,0,0,1,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-06
木澤 尚文,,0.00,1.2,16,4,0,0,1,0,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-06
星 知弥,,0.00,1,8,3,0,0,1,0,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-06
遠藤 淳志,勝,0.00,5.0,88,22,3,0,3,4,1,0,0,0,広島東洋カープ,carp,リーグ戦,2023-04-06
西 純矢,敗,5.40,5,71,21,6,1,1,0,0,0,3,3,阪神タイガース,tigers,リーグ戦,2023-04-06
田中 将大,敗,1.42,7,105,28,8,1,5,1,0,0,1,1,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-04-06
鈴木 翔天,,3.00,1,22,5,2,0,1,0,0,0,1,1,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-04-06
宮森 智志,,9.00,1,12,3,0,0,0,1,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-04-06
松本 航,勝,0.00,6,98,22,3,0,4,2,0,0,0,0,埼玉西武ライオンズ,lions,リーグ戦,2023-04-06
佐藤 隼輔,H,0.00,0.2,19,4,0,0,0,2,0,0,0,0,埼玉西武ライオンズ,lions,リーグ戦,2023-04-06
森脇 亮介,H,0.00,0.1,6,1,0,0,1,0,0,0,0,0,埼玉西武ライオンズ,lions,リーグ戦,2023-04-06
ティノコ,H,6.00,1,18,5,2,0,0,0,0,0,1,1,埼玉西武ライオンズ,lions,リーグ戦,2023-04-06
増田 達至,S,9.00,1,13,3,0,0,1,0,0,0,0,0,埼玉西武ライオンズ,lions,リーグ戦,2023-04-06
佐々木 朗希,勝,0.00,6,80,19,1,0,11,0,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-04-06
小野 郁,H,6.00,1,22,5,1,0,0,1,0,0,1,1,千葉ロッテマリーンズ,lotte,リーグ戦,2023-04-06
坂本 光士郎,H,0.00,0.2,11,3,1,0,1,0,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-04-06
カスティーヨ,H,6.75,0.1,2,1,0,0,0,0,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-04-06
西村 天裕,,0.00,1,15,3,0,0,1,0,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-04-06
加藤 貴之,敗,3.21,7,98,28,7,0,3,1,1,0,3,2,北海道日本ハムファイターズ,fighters,リーグ戦,2023-04-06
井口 和朋,,13.50,1,27,7,3,0,0,1,0,0,3,3,北海道日本ハムファイターズ,fighters,リーグ戦,2023-04-06
山本 由伸,勝,0.00,6,85,22,2,0,6,2,0,0,0,0,オリックス・バファローズ,orix,リーグ戦,2023-04-06
阿部 翔太,,6.75,0.2,25,6,2,0,2,1,1,0,1,1,オリックス・バファローズ,orix,リーグ戦,2023-04-06
宇田川 優希,H,3.86,1.1,25,6,1,0,0,1,0,0,1,1,オリックス・バファローズ,orix,リーグ戦,2023-04-06
山﨑 颯一郎,,0.00,1,15,4,0,0,1,1,0,0,0,0,オリックス・バファローズ,orix,リーグ戦,2023-04-06
高橋 礼,敗,11.57,2.1,45,13,4,0,1,3,0,0,3,3,福岡ソフトバンクホークス,hawks,リーグ戦,2023-04-06
板東 湧梧,,3.38,1.2,27,6,2,1,1,0,0,0,1,1,福岡ソフトバンクホークス,hawks,リーグ戦,2023-04-06
田浦 文丸,,0.00,2,28,8,2,0,1,0,0,0,0,0,福岡ソフトバンクホークス,hawks,リーグ戦,2023-04-06
大津 亮介,,10.13,1.2,36,9,4,0,0,0,0,0,3,3,福岡ソフトバンクホークス,hawks,リーグ戦,2023-04-06
嘉弥真 新也,,0.00,0.1,14,3,1,0,1,1,0,0,0,0,福岡ソフトバンクホークス,hawks,リーグ戦,2023-04-06
