player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
グリフィン,勝,0.00,7,95,24,3,0,7,1,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-04-01
田中 豊樹,H,0.00,1,18,4,1,0,1,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-04-01
鍵谷 陽平,S,0.00,1,10,4,1,0,1,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-04-01
涌井 秀章,敗,2.57,7,103,28,4,1,7,2,1,0,2,2,中日ドラゴンズ,dragons,リーグ戦,2023-04-01
砂田 毅樹,,0.00,0.1,6,2,1,0,0,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-04-01
山本 拓実,,0.00,0.2,14,1,0,0,1,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-04-01
ピーターズ,,0.00,6,78,20,2,0,3,0,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-01
石山 泰稚,勝,0.00,1,16,4,1,0,2,0,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-01
清水 昇,H,0.00,1,12,3,1,0,1,0,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-01
田口 麗斗,S,0.00,1,15,3,0,0,0,0,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-01
床田 寛樹,,0.00,6,95,21,2,0,6,2,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-04-01
戸根 千明,H,0.00,0.1,5,1,0,0,0,0,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-04-01
島内 颯太郎,敗,13.50,0.2,9,4,2,1,0,0,0,0,1,1,広島東洋カープ,carp,リーグ戦,2023-04-01
ターリー,,0.00,1,9,4,1,0,1,0,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-04-01
秋山 拓巳,,9.00,5,63,23,7,1,3,1,0,0,5,5,阪神タイガース,tigers,リーグ戦,2023-04-01
村上 頌樹,H,0.00,1,16,4,1,0,1,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-04-01
岩崎 優,H,0.00,1,13,3,0,0,1,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-04-01
浜地 真澄,H,0.00,1,14,3,0,0,1,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-04-01
湯浅 京己,H,0.00,1,19,4,1,0,0,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-04-01
石井 大智,H,0.00,1,14,3,0,0,0,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-04-01
加治屋 蓮,H,0.00,1,12,3,1,0,0,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-04-01
富田 蓮,勝,0.00,1,21,4,1,0,1,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-04-01
ガゼルマン,,12.00,3,60,16,6,0,1,2,0,0,4,4,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-01
坂本 裕哉,,4.50,2,32,8,1,0,1,2,0,0,1,1,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-01
三嶋 一輝,H,0.00,1,10,4,2,0,1,0,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-01
伊勢 大夢,H,0.00,1,17,4,1,0,2,0,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-01
エスコバー,H,0.00,1,20,6,0,0,1,2,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-01
入江 大生,H,3.00,2,18,7,0,0,0,1,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-01
森原 康平,H,0.00,1,12,4,1,0,0,0,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-01
山﨑 康晃,敗,13.50,0.2,20,6,3,0,1,1,0,0,1,1,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-01
上沢 直之,,1.80,5,102,24,2,0,4,7,0,0,1,1,北海道日本ハムファイターズ,fighters,リーグ戦,2023-04-01
宮西 尚生,,0.00,1,10,4,1,0,1,0,1,0,0,0,北海道日本ハムファイターズ,fighters,リーグ戦,2023-04-01
