player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
戸郷 翔征,敗,0.89,7.1,102,30,7,0,1,1,0,0,2,2,読売ジャイアンツ,giants,リーグ戦,2023-04-18
田中 豊樹,,1.59,0.2,5,2,0,0,0,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-04-18
今村 信貴,,0.00,1,22,4,0,0,0,1,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-04-18
石田 健大,勝,1.50,8,102,26,4,0,8,0,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-18
山﨑 康晃,S,1.59,1,9,3,0,0,1,0,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-18
サイスニード,勝,1.02,6,102,27,7,0,8,3,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-18
石山 泰稚,H,2.16,1,12,3,0,0,0,0,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-18
清水 昇,H,0.00,1,19,4,1,0,0,0,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-18
田口 麗斗,S,2.70,1,12,3,0,0,1,0,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-18
涌井 秀章,敗,2.50,5,81,21,3,0,5,2,0,0,2,1,中日ドラゴンズ,dragons,リーグ戦,2023-04-18
勝野 昌慶,,1.23,1,23,4,0,0,2,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-04-18
砂田 毅樹,,3.86,1,12,3,0,0,0,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-04-18
祖父江 大輔,,1.42,1,10,3,1,0,0,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-04-18
西 勇輝,勝,2.08,9,128,32,4,0,6,1,0,0,1,1,阪神タイガース,tigers,リーグ戦,2023-04-18
九里 亜蓮,,0.93,7,113,29,5,0,6,3,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-04-18
ターリー,H,1.29,1,9,3,0,0,1,0,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-04-18
栗林 良吏,敗,5.40,0.2,28,6,3,0,2,1,0,0,2,2,広島東洋カープ,carp,リーグ戦,2023-04-18
金村 尚真,敗,2.45,6,91,23,4,0,8,0,0,0,4,2,北海道日本ハムファイターズ,fighters,リーグ戦,2023-04-18
池田 隆英,,3.86,1,9,3,0,0,0,0,0,0,0,0,北海道日本ハムファイターズ,fighters,リーグ戦,2023-04-18
宮西 尚生,,2.08,1,16,6,2,0,0,1,0,0,0,0,北海道日本ハムファイターズ,fighters,リーグ戦,2023-04-18
井口 和朋,,5.40,1,33,6,1,0,1,2,0,0,0,0,北海道日本ハムファイターズ,fighters,リーグ戦,2023-04-18
小島 和哉,勝,2.55,6.1,84,23,2,1,6,3,0,0,1,1,千葉ロッテマリーンズ,lotte,リーグ戦,2023-04-18
ペルドモ,H,2.70,0.2,12,3,1,0,1,0,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-04-18
澤村 拓一,H,5.40,1,14,3,0,0,1,0,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-04-18
益田 直也,S,1.50,1,17,5,2,0,2,0,0,0,1,1,千葉ロッテマリーンズ,lotte,リーグ戦,2023-04-18
平良 海馬,勝,1.89,6,106,22,2,0,4,4,0,0,1,1,埼玉西武ライオンズ,lions,リーグ戦,2023-04-18
