player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
則本 昂大,勝,2.65,7,102,27,4,0,7,1,0,0,2,1,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-09-19
渡辺 翔太,H,1.34,1,20,6,2,0,1,1,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-09-19
松井 裕樹,S,1.61,1,9,3,0,0,1,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-09-19
スチュワート・ジュニア,,3.17,6,93,24,4,0,5,2,0,0,1,1,福岡ソフトバンクホークス,hawks,リーグ戦,2023-09-19
又吉 克樹,敗,2.35,0.2,19,5,1,0,0,2,0,0,2,2,福岡ソフトバンクホークス,hawks,リーグ戦,2023-09-19
田浦 文丸,,2.45,0.1,8,2,0,0,0,1,0,0,0,0,福岡ソフトバンクホークス,hawks,リーグ戦,2023-09-19
大津 亮介,,2.39,1,9,3,0,0,0,0,0,0,0,0,福岡ソフトバンクホークス,hawks,リーグ戦,2023-09-19
松本 航,勝,3.77,7,115,29,4,1,2,4,0,0,4,3,埼玉西武ライオンズ,lions,リーグ戦,2023-09-19
佐藤 隼輔,H,2.75,1,11,3,0,0,0,0,0,0,0,0,埼玉西武ライオンズ,lions,リーグ戦,2023-09-19
水上 由伸,S,1.72,1,11,3,0,0,1,0,0,0,0,0,埼玉西武ライオンズ,lions,リーグ戦,2023-09-19
ポンセ,,4.23,5,76,21,6,0,2,1,0,0,3,3,北海道日本ハムファイターズ,fighters,リーグ戦,2023-09-19
ロドリゲス,敗,4.68,1,29,9,4,1,0,2,0,0,4,4,北海道日本ハムファイターズ,fighters,リーグ戦,2023-09-19
鈴木 健矢,,2.77,1,10,3,0,0,0,0,0,0,0,0,北海道日本ハムファイターズ,fighters,リーグ戦,2023-09-19
長谷川 威展,,0.00,1,14,4,1,0,0,0,0,0,0,0,北海道日本ハムファイターズ,fighters,リーグ戦,2023-09-19
東 晃平,勝,1.71,7,110,28,5,0,5,1,1,0,1,1,オリックス・バファローズ,orix,リーグ戦,2023-09-19
阿部 翔太,H,1.84,1,9,3,0,0,1,0,0,0,0,0,オリックス・バファローズ,orix,リーグ戦,2023-09-19
平野 佳寿,S,1.22,1,10,4,1,1,0,0,0,0,1,1,オリックス・バファローズ,orix,リーグ戦,2023-09-19
小島 和哉,敗,3.40,5.1,106,26,8,0,2,2,0,0,3,3,千葉ロッテマリーンズ,lotte,リーグ戦,2023-09-19
国吉 佑樹,,0.00,1.2,18,5,0,0,0,1,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-09-19
岩下 大輝,,2.22,1,12,3,1,0,0,0,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-09-19
