player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
村上 頌樹,敗,18.00,2,40,11,6,0,2,0,0,0,4,4,セ・リーグ,central,オールスターゲーム,2023-07-19
小笠原 慎之介,,4.50,2,29,7,1,1,1,0,0,0,1,1,セ・リーグ,central,オールスターゲーム,2023-07-19
東 克樹,,0.00,1,15,4,1,0,1,0,0,0,0,0,セ・リーグ,central,オールスターゲーム,2023-07-19
岩崎 優,,18.00,1,19,6,3,0,0,0,0,0,2,2,セ・リーグ,central,オールスターゲーム,2023-07-19
清水 昇,,9.00,1,14,5,2,1,1,0,0,0,1,1,セ・リーグ,central,オールスターゲーム,2023-07-19
山﨑 康晃,,0.00,1,6,4,1,0,0,0,0,0,0,0,セ・リーグ,central,オールスターゲーム,2023-07-19
マルティネス,,0.00,1,9,4,1,0,0,0,0,0,0,0,セ・リーグ,central,オールスターゲーム,2023-07-19
佐々木 朗希,勝,0.00,1,18,4,1,0,2,0,0,0,0,0,パ・リーグ,pacific,オールスターゲーム,2023-07-19
山本 由伸,,0.00,1,15,4,1,0,1,0,0,0,0,0,パ・リーグ,pacific,オールスターゲーム,2023-07-19
田中 将大,,0.00,1,11,3,0,0,1,0,0,0,0,0,パ・リーグ,pacific,オールスターゲーム,2023-07-19
和田 毅,,0.00,1,15,3,0,0,1,0,0,0,0,0,パ・リーグ,pacific,オールスターゲーム,2023-07-19
山﨑 福也,,0.00,1,17,4,1,0,1,0,0,0,0,0,パ・リーグ,pacific,オールスターゲーム,2023-07-19
山﨑 颯一郎,,0.00,1,12,5,2,0,0,0,0,0,0,0,パ・リーグ,pacific,オールスターゲーム,2023-07-19
田中 正義,,9.00,1,9,4,1,1,0,0,0,0,1,1,パ・リーグ,pacific,オールスターゲーム,2023-07-19
加藤 貴之,,0.00,2,16,6,0,0,0,0,0,0,0,0,パ・リーグ,pacific,オールスターゲーム,2023-07-19
