player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
山﨑 伊織,勝,2.81,6.2,102,27,6,0,6,2,0,0,3,3,読売ジャイアンツ,giants,リーグ戦,2023-07-29
今村 信貴,H,11.05,0.1,4,1,0,0,0,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-07-29
鈴木 康平,H,4.76,1,10,3,0,0,1,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-07-29
中川 皓太,S,1.48,1,11,3,0,0,1,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-07-29
髙橋 宏斗,敗,2.67,5,94,25,8,0,3,2,1,0,5,3,中日ドラゴンズ,dragons,リーグ戦,2023-07-29
藤嶋 健人,,1.95,1,20,4,1,0,2,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-07-29
齋藤 綱記,,0.00,1,9,3,0,0,2,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-07-29
松山 晋也,,2.45,1,20,4,2,0,1,0,0,0,1,1,中日ドラゴンズ,dragons,リーグ戦,2023-07-29
小川 泰弘,勝,3.97,7,113,29,8,1,5,1,0,0,2,2,東京ヤクルトスワローズ,swallows,リーグ戦,2023-07-29
清水 昇,H,2.37,1,21,5,2,0,1,0,0,0,1,1,東京ヤクルトスワローズ,swallows,リーグ戦,2023-07-29
田口 麗斗,S,1.60,1,12,3,0,0,1,0,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-07-29
大貫 晋一,敗,3.52,5.2,88,21,3,2,4,1,0,0,3,3,横浜DeNAベイスターズ,dena,リーグ戦,2023-07-29
エスコバー,,7.16,0.0,9,2,1,0,0,1,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-07-29
上茶谷 大河,,1.91,0.1,4,1,0,0,0,0,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-07-29
入江 大生,,1.71,1,23,5,1,0,0,1,1,0,1,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-07-29
ウェンデルケン,,1.57,1,22,5,2,0,2,0,0,0,1,1,横浜DeNAベイスターズ,dena,リーグ戦,2023-07-29
青柳 晃洋,,4.87,7,106,25,4,0,7,1,0,0,1,1,阪神タイガース,tigers,リーグ戦,2023-07-29
加治屋 蓮,,2.67,0.1,8,2,1,0,0,0,0,0,1,1,阪神タイガース,tigers,リーグ戦,2023-07-29
岩貞 祐太,,1.74,0.2,7,3,1,0,0,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-07-29
岩崎 優,H,1.06,1,14,3,0,0,3,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-07-29
浜地 真澄,H,6.45,1,8,3,0,0,0,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-07-29
