player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
戸郷 翔征,,2.27,7,109,27,7,0,4,0,0,0,1,1,読売ジャイアンツ,giants,リーグ戦,2023-07-13
鈴木 康平,H,3.77,1,10,3,0,0,0,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-07-13
中川 皓太,H,1.45,1,10,3,1,0,1,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-07-13
高梨 雄平,H,3.18,1,18,3,0,0,3,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-07-13
ビーディ,敗,4.28,0.0,8,2,1,0,0,0,1,0,1,1,読売ジャイアンツ,giants,リーグ戦,2023-07-13
大江 竜聖,,4.12,0.2,17,5,3,0,0,1,0,0,4,4,読売ジャイアンツ,giants,リーグ戦,2023-07-13
三上 朋也,,1.98,0.1,6,2,1,0,1,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-07-13
九里 亜蓮,,2.29,5,74,20,2,0,3,2,1,0,1,1,広島東洋カープ,carp,リーグ戦,2023-07-13
ターリー,H,2.05,1,20,5,1,0,0,0,1,0,0,0,広島東洋カープ,carp,リーグ戦,2023-07-13
栗林 良吏,H,4.94,1,9,3,0,0,1,0,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-07-13
島内 颯太郎,H,1.91,1,22,6,2,0,0,1,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-07-13
矢崎 拓也,H,2.05,1,18,6,1,0,1,2,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-07-13
大道 温貴,勝,3.86,1,10,3,0,0,0,0,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-07-13
中﨑 翔太,,2.51,1,12,3,0,0,1,0,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-07-13
小澤 怜史,敗,2.50,6,87,24,5,1,7,1,1,0,3,3,東京ヤクルトスワローズ,swallows,リーグ戦,2023-07-13
山本 大貴,,3.12,1,9,3,0,0,0,0,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-07-13
今野 龍太,,3.20,1,15,5,2,0,0,0,0,0,1,1,東京ヤクルトスワローズ,swallows,リーグ戦,2023-07-13
木澤 尚文,,2.70,1,17,5,1,0,1,1,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-07-13
小笠原 慎之介,勝,2.62,7,103,27,4,2,9,1,0,0,2,2,中日ドラゴンズ,dragons,リーグ戦,2023-07-13
清水 達也,H,1.52,1,8,3,0,0,0,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-07-13
マルティネス,S,0.00,1,6,3,0,0,0,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-07-13
村上 頌樹,敗,1.97,6,87,26,7,0,6,1,0,0,3,3,阪神タイガース,tigers,リーグ戦,2023-07-13
及川 雅貴,,3.18,1,4,3,1,0,0,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-07-13
石井 大智,,1.19,1,20,5,2,1,1,0,0,0,1,1,阪神タイガース,tigers,リーグ戦,2023-07-13
浜地 真澄,,7.11,1,11,4,1,0,2,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-07-13
石田 健大,勝,2.78,5,86,20,3,0,5,2,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-07-13
森原 康平,H,2.37,1,20,5,2,0,3,0,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-07-13
