player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
戸郷 翔征,,2.33,8,143,34,8,1,6,3,0,0,1,1,読売ジャイアンツ,giants,リーグ戦,2023-06-30
中川 皓太,H,2.13,1,11,3,0,0,1,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-06-30
高梨 雄平,勝,3.80,1,19,3,0,0,1,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-06-30
西 純矢,,4.19,7,95,25,3,0,2,1,0,0,1,1,阪神タイガース,tigers,リーグ戦,2023-06-30
岩貞 祐太,H,1.61,1,14,3,0,0,1,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-06-30
石井 大智,H,0.89,1,13,4,1,0,1,1,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-06-30
加治屋 蓮,敗,1.59,0.2,10,3,1,1,0,0,0,0,1,1,阪神タイガース,tigers,リーグ戦,2023-06-30
サイスニード,敗,3.23,5,97,25,8,2,8,2,0,0,6,6,東京ヤクルトスワローズ,swallows,リーグ戦,2023-06-30
今野 龍太,,3.45,2,45,11,5,0,2,0,0,0,2,2,東京ヤクルトスワローズ,swallows,リーグ戦,2023-06-30
山本 大貴,,3.52,1,12,3,0,0,1,0,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-06-30
丸山 翔大,,3.86,1,22,6,1,0,2,2,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-06-30
九里 亜蓮,勝,1.76,9,109,31,5,0,8,0,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-06-30
今永 昇太,,2.38,8,111,28,4,0,6,0,0,0,1,1,横浜DeNAベイスターズ,dena,リーグ戦,2023-06-30
伊勢 大夢,敗,2.45,1,18,5,1,0,0,1,0,0,1,1,横浜DeNAベイスターズ,dena,リーグ戦,2023-06-30
小笠原 慎之介,,2.90,7,107,29,6,0,3,3,0,0,1,1,中日ドラゴンズ,dragons,リーグ戦,2023-06-30
清水 達也,勝,1.82,1,14,5,2,0,0,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-06-30
マルティネス,S,0.00,1,13,3,0,0,3,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-06-30
加藤 貴之,敗,2.53,5,72,24,8,1,1,1,0,0,5,5,北海道日本ハムファイターズ,fighters,リーグ戦,2023-06-30
生田目 翼,,0.00,2,32,8,0,0,2,1,1,0,0,0,北海道日本ハムファイターズ,fighters,リーグ戦,2023-06-30
山本 拓実,,0.00,1,9,3,1,0,0,0,0,0,0,0,北海道日本ハムファイターズ,fighters,リーグ戦,2023-06-30
福田 俊,,0.00,1,12,3,0,0,1,0,0,0,0,0,北海道日本ハムファイターズ,fighters,リーグ戦,2023-06-30
山本 由伸,勝,1.89,8,112,31,7,0,7,0,0,0,1,1,オリックス・バファローズ,orix,リーグ戦,2023-06-30
平野 佳寿,,1.56,1,10,3,0,0,1,0,0,0,0,0,オリックス・バファローズ,orix,リーグ戦,2023-06-30
松本 航,敗,3.77,6,102,27,6,0,5,2,2,0,2,2,埼玉西武ライオンズ,lions,リーグ戦,2023-06-30
佐藤 隼輔,,2.55,1,18,5,2,0,2,0,0,0,1,0,埼玉西武ライオンズ,lions,リーグ戦,2023-06-30
青山 美夏人,,3.38,1,9,3,0,0,0,0,0,0,0,0,埼玉西武ライオンズ,lions,リーグ戦,2023-06-30
ボー・タカハシ,,2.65,1,18,4,1,0,0,1,0,0,0,0,埼玉西武ライオンズ,lions,リーグ戦,2023-06-30
有原 航平,勝,0.94,8,107,28,2,1,6,3,0,0,1,1,福岡ソフトバンクホークス,hawks,リーグ戦,2023-06-30
モイネロ,S,1.01,1,10,3,0,0,1,0,0,0,0,0,福岡ソフトバンクホークス,hawks,リーグ戦,2023-06-30
美馬 学,,5.40,6,104,27,7,1,1,2,1,0,4,4,千葉ロッテマリーンズ,lotte,リーグ戦,2023-06-30
西村 天裕,H,0.72,1,19,4,1,0,1,0,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-06-30
ペルドモ,敗,1.86,1,15,4,1,1,2,0,0,0,1,1,千葉ロッテマリーンズ,lotte,リーグ戦,2023-06-30
横山 陸人,,3.00,1,19,4,0,0,1,1,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-06-30
則本 昂大,,2.59,5.0,105,26,5,0,2,6,0,0,4,3,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-06-30
安樂 智大,H,2.52,1,14,2,0,0,1,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-06-30
酒居 知史,勝,2.79,1,15,4,1,0,1,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-06-30
鈴木 翔天,H,3.68,1,13,3,0,0,3,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-06-30
松井 裕樹,S,0.71,1,9,3,1,0,1,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-06-30
