player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
今永 昇太,勝,2.53,9,126,35,6,1,10,1,1,0,1,1,横浜DeNAベイスターズ,dena,リーグ戦,2023-06-23
ビーズリー,敗,2.84,3,71,17,5,0,1,3,0,0,2,2,阪神タイガース,tigers,リーグ戦,2023-06-23
馬場 皐輔,,0.00,2,27,6,0,0,0,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-06-23
K.ケラー,,2.70,2,33,10,2,1,0,1,0,0,1,1,阪神タイガース,tigers,リーグ戦,2023-06-23
石井 大智,,0.55,1,9,3,0,0,2,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-06-23
小笠原 慎之介,敗,3.04,7.1,109,29,6,0,5,1,0,0,4,4,中日ドラゴンズ,dragons,リーグ戦,2023-06-23
藤嶋 健人,,2.04,0.2,12,3,1,0,1,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-06-23
上田 洸太朗,,0.00,1,20,3,0,0,1,1,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-06-23
サイスニード,勝,2.69,9,105,32,6,0,5,1,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-06-23
九里 亜蓮,敗,1.95,7,106,27,6,2,9,0,0,0,3,3,広島東洋カープ,carp,リーグ戦,2023-06-23
森浦 大輔,,4.66,1,31,7,2,0,0,2,0,0,2,2,広島東洋カープ,carp,リーグ戦,2023-06-23
大道 温貴,,5.17,1,11,4,1,0,0,0,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-06-23
井上 温大,,4.50,4,67,16,5,0,2,1,0,0,2,2,読売ジャイアンツ,giants,リーグ戦,2023-06-23
横川 凱,勝,3.32,2.2,49,11,0,0,3,2,1,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-06-23
菊地 大稀,H,3.10,0.1,6,1,0,0,1,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-06-23
中川 皓太,H,2.31,1,11,4,1,0,0,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-06-23
大勢,S,3.00,1,20,6,2,1,1,1,0,0,1,1,読売ジャイアンツ,giants,リーグ戦,2023-06-23
則本 昂大,,2.36,6,114,23,4,0,8,2,0,0,2,2,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-06-23
宋 家豪,,3.12,1,11,4,1,1,2,0,0,0,1,1,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-06-23
酒居 知史,敗,2.95,1,27,7,2,0,0,1,0,0,2,2,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-06-23
内 星龍,,3.20,1,15,4,0,0,0,1,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-06-23
松本 航,,3.86,5,98,23,5,0,4,3,0,0,2,2,埼玉西武ライオンズ,lions,リーグ戦,2023-06-23
佐々木 健,H,0.00,1,19,4,1,0,1,0,0,0,0,0,埼玉西武ライオンズ,lions,リーグ戦,2023-06-23
平井 克典,勝,1.90,1,26,6,2,0,0,1,0,0,1,1,埼玉西武ライオンズ,lions,リーグ戦,2023-06-23
森脇 亮介,H,1.71,1,14,3,0,0,0,0,0,0,0,0,埼玉西武ライオンズ,lions,リーグ戦,2023-06-23
増田 達至,S,5.66,1,19,5,2,0,1,0,0,0,1,1,埼玉西武ライオンズ,lions,リーグ戦,2023-06-23
種市 篤暉,敗,2.52,6,107,26,6,0,8,3,0,0,2,2,千葉ロッテマリーンズ,lotte,リーグ戦,2023-06-23
坂本 光士郎,,3.09,1,23,6,2,0,1,1,0,0,2,2,千葉ロッテマリーンズ,lotte,リーグ戦,2023-06-23
東妻 勇輔,,2.81,1,9,4,1,1,0,0,0,0,1,1,千葉ロッテマリーンズ,lotte,リーグ戦,2023-06-23
横山 陸人,,3.60,1,15,4,0,0,1,1,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-06-23
加藤 貴之,勝,2.19,6.2,95,26,7,0,1,0,0,0,2,2,北海道日本ハムファイターズ,fighters,リーグ戦,2023-06-23
玉井 大翔,H,2.08,0.1,6,1,0,0,1,0,0,0,0,0,北海道日本ハムファイターズ,fighters,リーグ戦,2023-06-23
池田 隆英,H,2.73,1,7,3,0,0,1,0,0,0,0,0,北海道日本ハムファイターズ,fighters,リーグ戦,2023-06-23
田中 正義,S,2.42,1,26,5,1,0,1,1,0,0,1,1,北海道日本ハムファイターズ,fighters,リーグ戦,2023-06-23
有原 航平,勝,0.87,8,109,27,3,1,6,0,0,0,1,1,福岡ソフトバンクホークス,hawks,リーグ戦,2023-06-23
甲斐野 央,,1.93,1,21,5,1,0,2,1,0,0,0,0,福岡ソフトバンクホークス,hawks,リーグ戦,2023-06-23
山本 由伸,敗,1.98,6,101,26,8,0,6,0,0,0,4,4,オリックス・バファローズ,orix,リーグ戦,2023-06-23
山田 修義,,0.87,1,22,3,1,0,1,0,0,0,0,0,オリックス・バファローズ,orix,リーグ戦,2023-06-23
宇田川 優希,,4.22,1,23,6,2,0,0,1,0,0,3,3,オリックス・バファローズ,orix,リーグ戦,2023-06-23
