player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
小澤 怜史,勝,2.83,5,71,19,2,0,1,3,1,0,1,1,東京ヤクルトスワローズ,swallows,交流戦,2023-06-04
今野 龍太,H,0.00,1,14,3,0,0,0,1,0,0,0,0,東京ヤクルトスワローズ,swallows,交流戦,2023-06-04
星 知弥,H,4.24,1,13,4,1,0,2,0,0,0,0,0,東京ヤクルトスワローズ,swallows,交流戦,2023-06-04
清水 昇,,2.05,1,25,6,3,0,3,0,0,0,1,1,東京ヤクルトスワローズ,swallows,交流戦,2023-06-04
田口 麗斗,S,1.83,1,12,4,1,0,1,0,0,0,0,0,東京ヤクルトスワローズ,swallows,交流戦,2023-06-04
荘司 康誠,敗,3.67,2,55,12,3,0,1,4,0,0,3,3,東北楽天ゴールデンイーグルス,rakuten,交流戦,2023-06-04
津留﨑 大成,,0.00,2,23,7,1,0,1,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,交流戦,2023-06-04
安樂 智大,,2.57,1,15,4,1,0,1,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,交流戦,2023-06-04
西口 直人,,3.80,1,29,6,2,1,0,1,0,0,1,1,東北楽天ゴールデンイーグルス,rakuten,交流戦,2023-06-04
内 星龍,,3.00,1,18,5,1,0,0,1,0,0,1,1,東北楽天ゴールデンイーグルス,rakuten,交流戦,2023-06-04
宋 家豪,,3.65,1,14,4,1,0,1,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,交流戦,2023-06-04
アンダーソン,,2.67,5,86,18,0,0,5,3,0,0,0,0,広島東洋カープ,carp,交流戦,2023-06-04
栗林 良吏,敗,6.75,1,24,8,5,0,1,0,0,0,3,3,広島東洋カープ,carp,交流戦,2023-06-04
森浦 大輔,,0.00,1,18,5,1,0,0,1,0,0,0,0,広島東洋カープ,carp,交流戦,2023-06-04
ターリー,,1.21,1,8,4,1,0,0,0,0,0,0,0,広島東洋カープ,carp,交流戦,2023-06-04
矢崎 拓也,,1.88,1,16,4,1,0,1,0,0,0,0,0,広島東洋カープ,carp,交流戦,2023-06-04
藤井 皓哉,勝,2.51,5.1,85,24,5,0,4,4,0,0,2,1,福岡ソフトバンクホークス,hawks,交流戦,2023-06-04
田浦 文丸,,0.56,0.0,5,1,1,0,0,0,0,0,0,0,福岡ソフトバンクホークス,hawks,交流戦,2023-06-04
大津 亮介,H,3.00,0.2,7,2,0,0,0,0,0,0,0,0,福岡ソフトバンクホークス,hawks,交流戦,2023-06-04
津森 宥紀,H,3.27,1,12,4,1,0,0,1,0,0,0,0,福岡ソフトバンクホークス,hawks,交流戦,2023-06-04
松本 裕樹,H,3.71,1,9,3,0,0,0,0,0,0,0,0,福岡ソフトバンクホークス,hawks,交流戦,2023-06-04
モイネロ,S,1.00,1,25,3,0,0,1,1,0,0,0,0,福岡ソフトバンクホークス,hawks,交流戦,2023-06-04
松井 颯,敗,4.15,3,66,17,7,1,4,1,0,0,5,5,読売ジャイアンツ,giants,交流戦,2023-06-04
菊地 大稀,,5.11,2,32,6,0,0,3,0,0,0,0,0,読売ジャイアンツ,giants,交流戦,2023-06-04
鍬原 拓也,,9.00,0.2,26,9,5,0,0,1,1,0,4,4,読売ジャイアンツ,giants,交流戦,2023-06-04
田中 千晴,,5.40,1.1,19,4,0,0,3,0,0,0,0,0,読売ジャイアンツ,giants,交流戦,2023-06-04
三上 朋也,,3.00,2,28,8,2,0,1,0,0,0,1,1,読売ジャイアンツ,giants,交流戦,2023-06-04
北山 亘基,勝,2.45,7,101,28,8,2,6,1,0,1,3,3,北海道日本ハムファイターズ,fighters,交流戦,2023-06-04
杉浦 稔大,,2.16,1,21,4,1,0,1,0,0,0,0,0,北海道日本ハムファイターズ,fighters,交流戦,2023-06-04
宮内 春輝,,5.40,1,16,4,1,0,3,0,0,0,0,0,北海道日本ハムファイターズ,fighters,交流戦,2023-06-04
ガゼルマン,,3.61,5.1,102,26,9,0,4,2,1,0,4,4,横浜DeNAベイスターズ,dena,交流戦,2023-06-04
上茶谷 大河,,0.84,1.2,28,5,0,0,3,0,0,0,0,0,横浜DeNAベイスターズ,dena,交流戦,2023-06-04
入江 大生,勝,2.87,1,25,5,1,0,1,1,0,0,0,0,横浜DeNAベイスターズ,dena,交流戦,2023-06-04
山﨑 康晃,S,5.00,1,11,3,0,0,1,0,0,0,0,0,横浜DeNAベイスターズ,dena,交流戦,2023-06-04
平良 海馬,,1.98,7,96,26,3,0,2,2,0,0,0,0,埼玉西武ライオンズ,lions,交流戦,2023-06-04
佐藤 隼輔,,2.00,0.0,9,3,2,0,0,0,0,0,3,1,埼玉西武ライオンズ,lions,交流戦,2023-06-04
ティノコ,敗,3.72,0.2,21,5,2,0,0,1,0,0,2,2,埼玉西武ライオンズ,lions,交流戦,2023-06-04
公文 克彦,,0.00,0.1,8,2,1,0,0,0,0,0,0,0,埼玉西武ライオンズ,lions,交流戦,2023-06-04
