player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
瀧中 瞭太,敗,3.83,5,82,24,9,1,0,1,0,0,5,5,東北楽天ゴールデンイーグルス,rakuten,交流戦,2023-06-21
安樂 智大,,2.70,1,15,4,1,0,0,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,交流戦,2023-06-21
弓削 隼人,,1.50,1,16,3,0,0,1,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,交流戦,2023-06-21
渡辺 翔太,,0.00,1,12,3,0,0,0,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,交流戦,2023-06-21
鈴木 翔天,,4.50,1,10,4,1,0,1,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,交流戦,2023-06-21
髙橋 宏斗,勝,1.89,6.2,118,31,5,0,5,4,0,0,2,0,中日ドラゴンズ,dragons,交流戦,2023-06-21
福 敬登,H,3.00,0.1,5,1,0,0,1,0,0,0,0,0,中日ドラゴンズ,dragons,交流戦,2023-06-21
清水 達也,H,2.18,1,11,3,0,0,1,0,0,0,0,0,中日ドラゴンズ,dragons,交流戦,2023-06-21
マルティネス,S,0.00,1,15,3,0,0,1,0,0,0,0,0,中日ドラゴンズ,dragons,交流戦,2023-06-21
