player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
森 翔平,敗,3.86,4,90,19,3,0,1,6,0,0,2,2,広島東洋カープ,carp,オープン戦,2023-03-18
河野 佳,,0.00,1,9,3,0,0,0,0,0,0,0,0,広島東洋カープ,carp,オープン戦,2023-03-18
戸根 千明,,0.00,1,18,4,0,0,1,0,1,0,0,0,広島東洋カープ,carp,オープン戦,2023-03-18
森浦 大輔,,10.80,1,12,3,1,0,0,0,0,0,0,0,広島東洋カープ,carp,オープン戦,2023-03-18
島内 颯太郎,,2.25,1,12,4,1,0,1,0,0,0,0,0,広島東洋カープ,carp,オープン戦,2023-03-18
ターリー,,0.00,1,14,4,1,0,3,0,0,0,0,0,広島東洋カープ,carp,オープン戦,2023-03-18
山岡 泰輔,勝,3.09,5,90,23,5,0,4,1,1,0,1,0,オリックス・バファローズ,orix,オープン戦,2023-03-18
山﨑 福也,S,0.00,4,55,14,2,0,3,0,0,0,0,0,オリックス・バファローズ,orix,オープン戦,2023-03-18
柳 裕也,勝,5.14,6,97,26,6,2,5,1,1,0,2,2,中日ドラゴンズ,dragons,オープン戦,2023-03-18
山本 拓実,,0.00,1,10,4,0,0,0,1,0,0,0,0,中日ドラゴンズ,dragons,オープン戦,2023-03-18
勝野 昌慶,,0.00,1,16,4,1,0,1,0,0,0,0,0,中日ドラゴンズ,dragons,オープン戦,2023-03-18
清水 達也,,0.00,1,19,3,0,0,3,0,0,0,0,0,中日ドラゴンズ,dragons,オープン戦,2023-03-18
藤平 尚真,,2.08,4,61,15,1,0,1,1,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,オープン戦,2023-03-18
渡辺 翔太,敗,13.50,1.1,47,12,5,0,0,2,0,0,6,4,東北楽天ゴールデンイーグルス,rakuten,オープン戦,2023-03-18
弓削 隼人,,2.70,0.2,7,3,1,0,0,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,オープン戦,2023-03-18
西口 直人,,3.00,1,9,4,1,0,1,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,オープン戦,2023-03-18
酒居 知史,,2.25,1,17,5,2,0,0,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,オープン戦,2023-03-18
藤井 皓哉,敗,4.50,6,106,26,5,1,9,1,0,0,4,3,福岡ソフトバンクホークス,hawks,オープン戦,2023-03-18
椎野 新,,1.80,1,17,4,1,0,1,0,0,0,0,0,福岡ソフトバンクホークス,hawks,オープン戦,2023-03-18
又吉 克樹,,3.86,1,42,7,2,0,1,2,0,0,1,1,福岡ソフトバンクホークス,hawks,オープン戦,2023-03-18
津森 宥紀,,0.00,1,13,4,1,0,1,0,0,0,0,0,福岡ソフトバンクホークス,hawks,オープン戦,2023-03-18
ガゼルマン,,2.57,4,84,18,5,1,3,1,0,0,2,2,横浜DeNAベイスターズ,dena,オープン戦,2023-03-18
宮國 椋丞,勝,6.75,1,12,4,1,0,1,0,0,0,0,0,横浜DeNAベイスターズ,dena,オープン戦,2023-03-18
入江 大生,,2.45,0.0,5,1,1,0,0,0,0,0,0,0,横浜DeNAベイスターズ,dena,オープン戦,2023-03-18
三浦 銀二,,0.00,1,11,4,1,0,1,0,0,0,0,0,横浜DeNAベイスターズ,dena,オープン戦,2023-03-18
エスコバー,,0.00,0.2,9,2,0,0,1,0,0,0,0,0,横浜DeNAベイスターズ,dena,オープン戦,2023-03-18
伊勢 大夢,,0.00,0.1,7,2,1,0,1,0,0,0,0,0,横浜DeNAベイスターズ,dena,オープン戦,2023-03-18
山﨑 康晃,,0.00,1,15,5,2,0,2,0,0,0,0,0,横浜DeNAベイスターズ,dena,オープン戦,2023-03-18
森原 康平,S,0.00,1,14,3,0,0,1,0,0,0,0,0,横浜DeNAベイスターズ,dena,オープン戦,2023-03-18
菅野 智之,勝,0.00,1,21,5,2,0,2,0,0,0,1,0,読売ジャイアンツ,giants,オープン戦,2023-03-18
船迫 大雅,,15.43,1,17,3,0,0,1,0,0,0,0,0,読売ジャイアンツ,giants,オープン戦,2023-03-18
堀岡 隼人,,16.20,2,41,8,3,1,3,0,0,0,2,2,読売ジャイアンツ,giants,オープン戦,2023-03-18
代木 大和,,2.25,2,36,8,1,0,3,1,0,0,0,0,読売ジャイアンツ,giants,オープン戦,2023-03-18
大江 竜聖,,0.00,1,17,3,1,0,1,0,0,0,0,0,読売ジャイアンツ,giants,オープン戦,2023-03-18
ロペス,,0.00,1,20,4,1,0,2,0,0,0,0,0,読売ジャイアンツ,giants,オープン戦,2023-03-18
高梨 雄平,,2.45,0.2,17,5,1,0,1,0,2,0,1,1,読売ジャイアンツ,giants,オープン戦,2023-03-18
鍵谷 陽平,S,0.00,0.1,4,1,0,0,0,0,0,0,0,0,読売ジャイアンツ,giants,オープン戦,2023-03-18
上沢 直之,敗,7.20,5,87,22,5,1,4,1,1,0,4,4,北海道日本ハムファイターズ,fighters,オープン戦,2023-03-18
井口 和朋,,2.25,1,20,4,0,0,1,1,0,0,0,0,北海道日本ハムファイターズ,fighters,オープン戦,2023-03-18
ロドリゲス,,2.25,1,21,6,2,0,1,1,0,0,1,0,北海道日本ハムファイターズ,fighters,オープン戦,2023-03-18
北山 亘基,,0.00,1,19,5,0,0,1,2,0,0,0,0,北海道日本ハムファイターズ,fighters,オープン戦,2023-03-18
