player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
ガンケル,,6.00,4,58,19,6,0,3,0,0,0,1,0,福岡ソフトバンクホークス,hawks,オープン戦,2023-03-16
有原 航平,敗,10.29,4,45,14,4,1,2,0,0,0,2,2,福岡ソフトバンクホークス,hawks,オープン戦,2023-03-16
松本 裕樹,,6.00,1,22,6,3,0,1,0,0,0,2,2,福岡ソフトバンクホークス,hawks,オープン戦,2023-03-16
ビーディ,,0.00,5,59,16,1,0,3,1,0,0,0,0,読売ジャイアンツ,giants,オープン戦,2023-03-16
代木 大和,勝,3.00,1,13,4,0,0,1,1,0,0,1,1,読売ジャイアンツ,giants,オープン戦,2023-03-16
鍵谷 陽平,,0.00,1,12,4,1,0,1,0,0,0,0,0,読売ジャイアンツ,giants,オープン戦,2023-03-16
ロペス,,0.00,1,7,3,1,0,0,0,0,0,0,0,読売ジャイアンツ,giants,オープン戦,2023-03-16
今村 信貴,,0.00,1,25,5,2,0,1,0,0,0,0,0,読売ジャイアンツ,giants,オープン戦,2023-03-16
