player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
金村 尚真,,1.20,6,68,19,1,1,7,1,0,0,1,1,北海道日本ハムファイターズ,fighters,オープン戦,2023-03-24
井口 和朋,,1.80,1,17,3,0,0,0,1,0,0,0,0,北海道日本ハムファイターズ,fighters,オープン戦,2023-03-24
宮西 尚生,勝,0.00,1,11,3,0,0,1,0,0,0,0,0,北海道日本ハムファイターズ,fighters,オープン戦,2023-03-24
石川 直也,S,2.57,1,14,3,0,0,2,0,0,0,0,0,北海道日本ハムファイターズ,fighters,オープン戦,2023-03-24
小川 泰弘,,5.14,5,67,19,5,0,5,0,0,0,1,1,東京ヤクルトスワローズ,swallows,オープン戦,2023-03-24
ケラ,,4.50,1,17,4,1,0,0,0,0,0,0,0,東京ヤクルトスワローズ,swallows,オープン戦,2023-03-24
石山 泰稚,,2.35,1,16,3,0,0,1,0,0,0,0,0,東京ヤクルトスワローズ,swallows,オープン戦,2023-03-24
清水 昇,敗,5.14,1,27,5,2,0,1,0,0,0,2,1,東京ヤクルトスワローズ,swallows,オープン戦,2023-03-24
宮川 哲,敗,6.23,2,53,12,6,0,1,0,0,0,2,2,埼玉西武ライオンズ,lions,オープン戦,2023-03-24
本田 圭佑,,3.60,2,50,10,4,0,2,0,0,0,2,2,埼玉西武ライオンズ,lions,オープン戦,2023-03-24
ボー・タカハシ,,0.00,2,23,6,0,0,2,0,0,0,0,0,埼玉西武ライオンズ,lions,オープン戦,2023-03-24
水上 由伸,,1.80,1,14,3,0,0,1,0,0,0,0,0,埼玉西武ライオンズ,lions,オープン戦,2023-03-24
平井 克典,,3.60,1,14,3,0,0,1,0,0,0,0,0,埼玉西武ライオンズ,lions,オープン戦,2023-03-24
増田 達至,,0.00,1,9,3,0,0,2,0,0,0,0,0,埼玉西武ライオンズ,lions,オープン戦,2023-03-24
石田 健大,勝,3.00,6,73,21,4,0,6,0,1,0,1,1,横浜DeNAベイスターズ,dena,オープン戦,2023-03-24
三嶋 一輝,,3.38,1,21,4,1,0,1,0,0,0,0,0,横浜DeNAベイスターズ,dena,オープン戦,2023-03-24
エスコバー,,0.00,1,23,5,0,0,2,1,1,0,0,0,横浜DeNAベイスターズ,dena,オープン戦,2023-03-24
山﨑 康晃,S,0.00,1,13,3,0,0,2,0,0,0,0,0,横浜DeNAベイスターズ,dena,オープン戦,2023-03-24
ビーディ,敗,2.61,3.1,72,17,5,2,1,4,1,0,3,3,読売ジャイアンツ,giants,オープン戦,2023-03-24
今村 信貴,,1.35,1.2,32,9,3,0,2,1,0,0,1,1,読売ジャイアンツ,giants,オープン戦,2023-03-24
代木 大和,,2.00,1,14,3,0,0,3,0,0,0,0,0,読売ジャイアンツ,giants,オープン戦,2023-03-24
田中 豊樹,,0.00,1,14,4,1,0,1,0,0,0,0,0,読売ジャイアンツ,giants,オープン戦,2023-03-24
直江 大輔,,1.59,1,11,3,0,0,0,0,0,0,0,0,読売ジャイアンツ,giants,オープン戦,2023-03-24
船迫 大雅,,8.31,1,8,3,0,0,1,0,0,0,0,0,読売ジャイアンツ,giants,オープン戦,2023-03-24
田中 将大,勝,2.16,3,46,12,2,0,3,2,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,オープン戦,2023-03-24
藤平 尚真,,2.25,3,63,15,3,1,7,3,0,0,1,1,東北楽天ゴールデンイーグルス,rakuten,オープン戦,2023-03-24
伊藤 茉央,,3.60,1,14,3,0,0,2,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,オープン戦,2023-03-24
小孫 竜二,,4.50,1,7,3,0,0,0,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,オープン戦,2023-03-24
西口 直人,S,1.80,1,7,3,0,0,0,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,オープン戦,2023-03-24
小笠原 慎之介,勝,3.46,6,97,25,7,0,4,1,0,0,0,0,中日ドラゴンズ,dragons,オープン戦,2023-03-24
祖父江 大輔,,9.00,1,19,4,1,0,1,0,0,0,0,0,中日ドラゴンズ,dragons,オープン戦,2023-03-24
勝野 昌慶,,0.00,1,25,5,1,0,2,1,0,0,0,0,中日ドラゴンズ,dragons,オープン戦,2023-03-24
清水 達也,S,0.00,1,11,3,0,0,0,0,0,0,0,0,中日ドラゴンズ,dragons,オープン戦,2023-03-24
小島 和哉,敗,1.26,5.1,82,21,5,0,5,0,0,0,1,1,千葉ロッテマリーンズ,lotte,オープン戦,2023-03-24
ペルドモ,,0.00,0.2,10,3,2,0,1,0,0,0,0,0,千葉ロッテマリーンズ,lotte,オープン戦,2023-03-24
益田 直也,,0.00,1,24,5,1,0,0,1,0,0,0,0,千葉ロッテマリーンズ,lotte,オープン戦,2023-03-24
澤村 拓一,,6.75,1,13,3,0,0,1,0,0,0,0,0,千葉ロッテマリーンズ,lotte,オープン戦,2023-03-24
山下 舜平大,勝,2.35,6,90,22,3,1,7,0,0,0,2,2,オリックス・バファローズ,orix,オープン戦,2023-03-24
比嘉 幹貴,,4.50,1,20,4,1,0,0,0,0,0,0,0,オリックス・バファローズ,orix,オープン戦,2023-03-24
ワゲスパック,,3.86,1,19,4,1,0,1,1,0,0,0,0,オリックス・バファローズ,orix,オープン戦,2023-03-24
平野 佳寿,S,0.00,1,25,5,1,0,0,1,0,0,0,0,オリックス・バファローズ,orix,オープン戦,2023-03-24
青柳 晃洋,敗,2.81,4,85,22,8,1,4,3,0,0,3,3,阪神タイガース,tigers,オープン戦,2023-03-24
島本 浩也,,4.50,1,29,7,3,0,0,1,0,0,2,2,阪神タイガース,tigers,オープン戦,2023-03-24
富田 蓮,,1.08,2,26,8,2,0,0,0,0,0,0,0,阪神タイガース,tigers,オープン戦,2023-03-24
