player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
荘司 康誠,勝,6.75,4.2,79,21,2,0,2,4,1,0,0,0,東北楽天ゴールデンイーグルス,rakuten,オープン戦,2023-03-09
弓削 隼人,,6.75,0.1,5,2,1,0,0,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,オープン戦,2023-03-09
小孫 竜二,S,6.43,4,70,19,5,0,5,1,0,0,2,2,東北楽天ゴールデンイーグルス,rakuten,オープン戦,2023-03-09
ガゼルマン,,0.00,3,42,13,3,0,1,0,1,0,0,0,横浜DeNAベイスターズ,dena,オープン戦,2023-03-09
宮國 椋丞,敗,9.00,1,19,6,3,0,1,0,0,0,1,1,横浜DeNAベイスターズ,dena,オープン戦,2023-03-09
三嶋 一輝,,9.00,1,17,6,3,0,1,0,0,0,2,2,横浜DeNAベイスターズ,dena,オープン戦,2023-03-09
橋本 達弥,,0.00,1.2,29,7,1,0,0,3,0,0,0,0,横浜DeNAベイスターズ,dena,オープン戦,2023-03-09
石川 達也,,0.00,0.1,6,1,0,0,1,0,0,0,0,0,横浜DeNAベイスターズ,dena,オープン戦,2023-03-09
森原 康平,,0.00,1,18,5,2,0,0,0,0,0,0,0,横浜DeNAベイスターズ,dena,オープン戦,2023-03-09
エンス,勝,2.25,4,55,15,3,0,4,1,0,0,1,1,埼玉西武ライオンズ,lions,オープン戦,2023-03-09
ティノコ,,0.00,1,9,4,1,0,0,0,0,0,0,0,埼玉西武ライオンズ,lions,オープン戦,2023-03-09
髙橋 光成,S,0.00,4,57,14,3,0,5,0,0,0,0,0,埼玉西武ライオンズ,lions,オープン戦,2023-03-09
松葉 貴大,敗,6.23,5.2,104,27,8,1,2,3,0,0,6,6,中日ドラゴンズ,dragons,オープン戦,2023-03-09
藤嶋 健人,,0.00,0.0,2,1,1,0,0,0,0,0,0,0,中日ドラゴンズ,dragons,オープン戦,2023-03-09
森 博人,,0.00,1.1,13,5,1,0,1,0,0,0,0,0,中日ドラゴンズ,dragons,オープン戦,2023-03-09
祖父江 大輔,,18.00,1,32,7,2,0,1,2,0,0,2,2,中日ドラゴンズ,dragons,オープン戦,2023-03-09
村西 良太,敗,5.40,5,76,21,3,0,3,3,0,0,3,3,オリックス・バファローズ,orix,オープン戦,2023-03-09
比嘉 幹貴,,18.00,1,19,5,2,1,0,0,0,0,2,2,オリックス・バファローズ,orix,オープン戦,2023-03-09
平野 佳寿,,0.00,1,8,3,0,0,1,0,0,0,0,0,オリックス・バファローズ,orix,オープン戦,2023-03-09
ワゲスパック,,0.00,1,11,3,0,0,0,0,0,0,0,0,オリックス・バファローズ,orix,オープン戦,2023-03-09
本田 仁海,,0.00,1,9,3,0,0,0,0,0,0,0,0,オリックス・バファローズ,orix,オープン戦,2023-03-09
富田 蓮,,2.25,2,37,10,4,0,2,0,0,0,1,1,阪神タイガース,tigers,オープン戦,2023-03-09
加治屋 蓮,勝,0.00,2,32,8,1,0,1,1,0,0,0,0,阪神タイガース,tigers,オープン戦,2023-03-09
K.ケラー,,6.00,1,21,5,2,0,1,0,0,0,0,0,阪神タイガース,tigers,オープン戦,2023-03-09
岩崎 優,,0.00,1,14,3,0,0,1,0,0,0,0,0,阪神タイガース,tigers,オープン戦,2023-03-09
浜地 真澄,,3.00,1,13,3,0,0,1,0,0,0,0,0,阪神タイガース,tigers,オープン戦,2023-03-09
島本 浩也,,0.00,1,15,4,0,0,1,1,0,0,0,0,阪神タイガース,tigers,オープン戦,2023-03-09
石井 大智,,0.00,1,9,3,0,0,2,0,0,0,0,0,阪神タイガース,tigers,オープン戦,2023-03-09
有原 航平,敗,18.00,3,56,16,9,0,1,0,0,0,6,6,福岡ソフトバンクホークス,hawks,オープン戦,2023-03-09
ガンケル,,18.00,2,53,13,6,1,0,1,0,0,4,4,福岡ソフトバンクホークス,hawks,オープン戦,2023-03-09
椎野 新,,0.00,1,7,3,0,0,1,0,0,0,0,0,福岡ソフトバンクホークス,hawks,オープン戦,2023-03-09
泉 圭輔,,0.00,1,11,3,0,0,1,0,0,0,0,0,福岡ソフトバンクホークス,hawks,オープン戦,2023-03-09
嘉弥真 新也,,0.00,1,12,3,0,0,0,0,0,0,0,0,福岡ソフトバンクホークス,hawks,オープン戦,2023-03-09
津森 宥紀,,0.00,1,14,3,0,0,0,0,0,0,0,0,福岡ソフトバンクホークス,hawks,オープン戦,2023-03-09
小川 泰弘,勝,3.60,3,41,11,1,0,2,1,0,0,0,0,東京ヤクルトスワローズ,swallows,オープン戦,2023-03-09
市川 悠太,,1.29,4,78,18,5,0,2,0,1,0,1,1,東京ヤクルトスワローズ,swallows,オープン戦,2023-03-09
久保 拓眞,,4.50,1,22,7,3,0,0,1,0,0,1,1,東京ヤクルトスワローズ,swallows,オープン戦,2023-03-09
竹山 日向,,15.00,1,16,5,2,2,0,0,1,0,2,2,東京ヤクルトスワローズ,swallows,オープン戦,2023-03-09
