player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
澤村 拓一,,4.91,1,22,4,1,0,1,0,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-10-06
横山 陸人,H,5.26,1,12,3,0,0,1,1,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-10-06
中村 稔弥,勝,2.31,2,32,7,1,0,0,0,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-10-06
中森 俊介,,3.54,1,17,4,1,0,0,0,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-10-06
坂本 光士郎,,3.28,1,22,6,1,0,1,1,1,0,1,1,千葉ロッテマリーンズ,lotte,リーグ戦,2023-10-06
西村 天裕,,1.25,1,12,3,0,0,1,0,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-10-06
東妻 勇輔,,2.91,1,9,3,0,0,0,0,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-10-06
佐々木 千隼,,3.00,1,11,4,1,0,0,0,1,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-10-06
竹安 大知,敗,10.38,3.1,63,19,11,0,1,0,0,0,4,4,オリックス・バファローズ,orix,リーグ戦,2023-10-06
漆原 大晟,,3.00,1.2,31,9,2,0,0,1,1,0,2,2,オリックス・バファローズ,orix,リーグ戦,2023-10-06
横山 楓,,7.36,1,20,4,1,0,0,1,0,0,0,0,オリックス・バファローズ,orix,リーグ戦,2023-10-06
黒木 優太,,6.58,1,37,11,5,0,1,2,0,0,5,4,オリックス・バファローズ,orix,リーグ戦,2023-10-06
村西 良太,,6.17,1,20,6,2,0,0,1,0,0,1,1,オリックス・バファローズ,orix,リーグ戦,2023-10-06
