player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
伊藤 将司,,1.29,7,99,26,5,0,3,2,0,0,1,1,阪神タイガース,tigers,CS,2023-10-19
石井 大智,H,0.00,0.2,6,2,0,0,1,0,0,0,0,0,阪神タイガース,tigers,CS,2023-10-19
島本 浩也,,0.00,0.0,11,2,2,0,0,0,0,0,0,0,阪神タイガース,tigers,CS,2023-10-19
ブルワー,H,0.00,0.1,5,1,0,0,1,0,0,0,0,0,阪神タイガース,tigers,CS,2023-10-19
岩崎 優,勝,0.00,1,14,3,0,0,2,0,0,0,0,0,阪神タイガース,tigers,CS,2023-10-19
大瀬良 大地,,0.00,7,80,26,3,0,5,2,0,0,1,0,広島東洋カープ,carp,CS,2023-10-19
島内 颯太郎,H,0.00,1,17,3,0,0,1,0,0,0,0,0,広島東洋カープ,carp,CS,2023-10-19
栗林 良吏,敗,13.50,0.2,24,6,2,0,1,2,0,0,1,1,広島東洋カープ,carp,CS,2023-10-19
田嶋 大樹,,6.00,6,92,24,4,0,2,4,0,0,4,4,オリックス・バファローズ,orix,CS,2023-10-19
小木田 敦也,,0.00,1,16,4,0,0,0,1,0,0,0,0,オリックス・バファローズ,orix,CS,2023-10-19
宇田川 優希,H,0.00,1,14,3,0,0,2,0,0,0,0,0,オリックス・バファローズ,orix,CS,2023-10-19
山岡 泰輔,敗,18.00,1,22,5,1,0,0,1,0,0,2,2,オリックス・バファローズ,orix,CS,2023-10-19
メルセデス,,5.40,5,97,23,7,0,4,1,0,0,3,3,千葉ロッテマリーンズ,lotte,CS,2023-10-19
西村 天裕,H,0.00,1,19,4,0,0,2,1,0,0,0,0,千葉ロッテマリーンズ,lotte,CS,2023-10-19
澤田 圭佑,,18.00,1,11,5,1,1,1,0,1,0,2,2,千葉ロッテマリーンズ,lotte,CS,2023-10-19
東條 大樹,勝,0.00,1,20,4,1,0,2,0,0,0,0,0,千葉ロッテマリーンズ,lotte,CS,2023-10-19
益田 直也,S,0.00,1,20,4,0,0,2,1,0,0,0,0,千葉ロッテマリーンズ,lotte,CS,2023-10-19
