player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
山﨑 伊織,,3.14,6,100,25,5,0,4,1,0,0,4,4,読売ジャイアンツ,giants,リーグ戦,2023-08-22
船迫 大雅,,3.38,1,15,3,0,0,1,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-08-22
鈴木 康平,勝,4.01,1,19,5,1,0,1,1,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-08-22
バルドナード,,1.35,1,17,4,0,0,2,1,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-08-22
小澤 怜史,,2.99,5.2,96,25,7,0,3,1,0,0,3,2,東京ヤクルトスワローズ,swallows,リーグ戦,2023-08-22
山本 大貴,H,3.18,0.1,8,2,1,0,1,0,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-08-22
石山 泰稚,H,5.13,1,16,4,1,0,0,1,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-08-22
清水 昇,敗,3.33,0.1,18,5,4,2,0,0,0,0,4,4,東京ヤクルトスワローズ,swallows,リーグ戦,2023-08-22
大西 広樹,,4.11,0.2,17,5,1,0,0,2,0,0,1,1,東京ヤクルトスワローズ,swallows,リーグ戦,2023-08-22
今永 昇太,敗,2.89,5,96,22,7,2,8,0,0,0,5,5,横浜DeNAベイスターズ,dena,リーグ戦,2023-08-22
宮城 滝太,,1.80,2,32,7,0,0,1,1,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-08-22
田中 健二朗,,2.25,1,24,5,2,0,2,0,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-08-22
エスコバー,,6.26,1,12,3,0,0,1,1,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-08-22
九里 亜蓮,勝,2.48,9,128,33,7,0,8,0,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-08-22
西 勇輝,,4.71,5.2,92,26,7,0,5,1,0,0,3,2,阪神タイガース,tigers,リーグ戦,2023-08-22
桐敷 拓馬,,1.57,1.1,12,4,1,0,0,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-08-22
石井 大智,H,1.00,1,17,4,0,0,1,1,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-08-22
岩崎 優,H,0.78,1,19,3,0,0,1,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-08-22
加治屋 蓮,H,2.38,0.1,13,3,0,0,0,2,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-08-22
島本 浩也,勝,2.01,0.2,15,3,0,0,1,1,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-08-22
涌井 秀章,,4.50,5,89,22,5,0,4,2,0,0,2,2,中日ドラゴンズ,dragons,リーグ戦,2023-08-22
松山 晋也,H,1.40,1,13,4,1,0,2,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-08-22
齋藤 綱記,,0.56,1,21,6,1,0,2,2,0,0,1,1,中日ドラゴンズ,dragons,リーグ戦,2023-08-22
清水 達也,H,2.52,0.1,12,3,0,0,0,2,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-08-22
フェリス,H,0.00,0.2,8,2,0,0,1,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-08-22
藤嶋 健人,H,1.49,1,19,6,2,0,0,1,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-08-22
田島 慎二,敗,4.85,0.2,33,6,2,0,1,2,0,0,1,1,中日ドラゴンズ,dragons,リーグ戦,2023-08-22
加藤 貴之,勝,2.85,6,94,27,9,0,1,1,0,0,2,2,北海道日本ハムファイターズ,fighters,リーグ戦,2023-08-22
河野 竜生,H,1.74,1,12,3,0,0,1,0,0,0,0,0,北海道日本ハムファイターズ,fighters,リーグ戦,2023-08-22
山本 拓実,,1.88,0.2,18,4,0,0,0,2,0,0,0,0,北海道日本ハムファイターズ,fighters,リーグ戦,2023-08-22
池田 隆英,H,3.21,0.1,11,2,1,0,0,0,0,0,0,0,北海道日本ハムファイターズ,fighters,リーグ戦,2023-08-22
石川 直也,,4.63,1,14,4,1,0,0,0,0,0,0,0,北海道日本ハムファイターズ,fighters,リーグ戦,2023-08-22
早川 隆久,敗,3.27,5.1,89,25,8,2,4,1,1,0,5,5,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-08-22
安樂 智大,,2.97,0.2,4,1,0,0,1,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-08-22
内 星龍,,2.85,1,20,5,1,0,1,1,0,0,1,1,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-08-22
宋 家豪,,3.26,1,9,3,1,0,0,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-08-22
エンス,敗,4.86,5,90,20,2,0,0,2,1,0,3,3,埼玉西武ライオンズ,lions,リーグ戦,2023-08-22
ボー・タカハシ,,2.79,1,16,6,3,0,0,0,0,0,2,2,埼玉西武ライオンズ,lions,リーグ戦,2023-08-22
本田 圭佑,,1.29,1,15,3,0,0,0,0,0,0,0,0,埼玉西武ライオンズ,lions,リーグ戦,2023-08-22
水上 由伸,,1.23,1,13,4,1,0,0,0,0,0,0,0,埼玉西武ライオンズ,lions,リーグ戦,2023-08-22
田村 伊知郎,,2.61,1,12,3,0,0,1,0,0,0,0,0,埼玉西武ライオンズ,lions,リーグ戦,2023-08-22
ワゲスパック,勝,4.66,6,90,21,1,0,9,2,0,0,0,0,オリックス・バファローズ,orix,リーグ戦,2023-08-22
小木田 敦也,,2.83,1,13,4,1,0,0,0,0,0,0,0,オリックス・バファローズ,orix,リーグ戦,2023-08-22
山田 修義,,1.42,1,13,4,1,1,2,0,0,0,1,1,オリックス・バファローズ,orix,リーグ戦,2023-08-22
宇田川 優希,,2.30,1,7,3,0,0,1,0,0,0,0,0,オリックス・バファローズ,orix,リーグ戦,2023-08-22
メルセデス,勝,2.95,6,89,21,3,1,1,2,0,0,2,2,千葉ロッテマリーンズ,lotte,リーグ戦,2023-08-22
